No.,Player,Class,Position,GP,GS,MIN,AVGMIN,FG,FGA,FGPCT,3FG,3FGA,3PCT,FT,FTA,FTPCT,OFFREB,DEFREB,TOTREB,AVGREB,PF,DQ,A,A/G,TO,TO/G,A/TO,BLK,BLK/G,STL,STL/G,PTS,AVG
32,Peter Kiss,Sr,G,27,26,962,35.6,246,540,45.6,50,169,29.6,138,176,78.4,39,117,156,5.8,59,0,87,3.2,113,4.2,0.77,8,0.3,45,1.7,680,25.2
5,Charles Pride,Jr,G,32,32,1130,35.3,204,452,45.1,59,181,32.6,99,129,76.7,96,179,275,8.6,57,2,77,2.4,53,1.7,1.45,8,0.3,52,1.6,566,17.7
3,Adham Eleeda,Sr,G,32,30,1014,31.7,99,292,33.9,93,280,33.2,38,45,84.4,19,139,158,4.9,66,3,28,0.9,39,1.2,0.72,1,0,23,0.7,329,10.3
34,Hall Elisias,Sr,F,25,23,566,22.6,76,139,54.7,3,13,23.1,64,83,77.1,56,92,148,5.9,72,6,17,0.7,25,1,0.68,75,3,11,0.4,219,8.8
30,Chris Childs,Sr,G,16,2,342,21.4,36,107,33.6,20,67,29.9,23,27,85.2,4,25,29,1.8,21,0,15,0.9,17,1.1,0.88,2,0.1,5,0.3,115,7.2
15,Greg Calixte,Gr,F,31,8,599,19.3,85,124,68.5,0,1,0,23,49,46.9,59,99,158,5.1,81,2,14,0.5,33,1.1,0.42,42,1.4,15,0.5,193,6.2
10,Luis Hurtado Jr,Sr,G,32,28,834,26.1,50,93,53.8,10,32,31.3,32,59,54.2,25,108,133,4.2,61,3,119,3.7,63,2,1.89,3,0.1,24,0.8,142,4.4
4,Tyler Brelsford,Fr,G,32,5,438,13.7,32,99,32.3,8,40,20,44,55,80,10,41,51,1.6,51,0,60,1.9,41,1.3,1.46,0,0,10,0.3,116,3.6
22,Grant Coleman,Fr,F,7,1,64,9.1,8,21,38.1,3,14,21.4,3,3,100,3,9,12,1.7,5,0,7,1,2,0.3,3.5,1,0.1,1,0.1,22,3.1
2,Erickson Bans,So,G,31,5,353,11.4,32,117,27.4,15,59,25.4,9,17,52.9,13,35,48,1.5,49,1,14,0.5,21,0.7,0.67,0,0,17,0.5,88,2.8
11,Max Zakheim,Fr,G,3,0,12,4,1,3,33.3,1,2,50,1,2,50,1,2,3,1,0,0,1,0.3,1,0.3,1,0,0,0,0,4,1.3
50,Josh Ozabor,Fr,F,16,0,70,4.4,7,10,70,0,0,0,0,1,0,8,3,11,0.7,13,0,3,0.2,5,0.3,0.6,2,0.1,2,0.1,14,0.9
33,Mike Iuzzolino,Fr,G,12,0,23,1.9,2,8,25,2,7,28.6,0,0,0,1,2,3,0.3,1,0,0,0,4,0.3,0,0,0,2,0.2,6,0.5
1,Joe Moon IV,So,G,7,0,30,4.3,1,4,25,0,1,0,1,2,50,3,1,4,0.6,6,0,0,0,3,0.4,0,1,0.1,0,0,3,0.4
12,Timmy Kiggins,Jr,G,11,0,13,1.2,0,4,0,0,2,0,0,1,0,1,4,5,0.5,2,0,2,0.2,1,0.1,2,0,0,0,0,0,0
